# Fill in the third column only. Do not change the first two.
# Keep every %s / %1$s and every <br/> and \n that the English has.
# Put SKIP in the third column for anything you are unsure of; it stays English.
# key	english	translation
RapidFeederConfigurationWizard.panelRapidFeederConfig.Border.title	Rapid Feeder Config	
RapidFeederConfigurationWizard.panelRapidFeederScan.Border.title	Rapid Feeder Scanning	
ReferenceActuatorProfilesWizard.lblActuator_1.text	Actuator 1	
ReferenceActuatorProfilesWizard.lblActuator_2.text	Actuator 2	
ReferenceActuatorProfilesWizard.lblActuator_3.text	Actuator 3	
ReferenceActuatorProfilesWizard.lblActuator_4.text	Actuator 4	
ReferenceActuatorProfilesWizard.lblActuator_5.text	Actuator 5	
ReferenceActuatorProfilesWizard.lblActuator_6.text	Actuator 6	
ReferenceActuatorProfilesWizard.panelCondition.Border.title	Profiles	
ReferenceActuatorProfilesWizard.panelInterlock.Border.title	Actuators	
ReferenceAdvancedMotionPlannerDiagnosticsWizard.btnTest.text	Test	
ReferenceAutoFeederConfigurationWizard.actuatorValue.toolTipText	For Boolean: 1 = True, 0 = False	
ReferenceCamClockwiseAxisConfigurationWizard.lblInputAxis.text	Counter-Clockwise Axis	
ReferenceCamClockwiseAxisConfigurationWizard.panelTransformation.Border.title	Cam Clockwise Axis	
ReferenceCamCounterClockwiseAxisConfigurationWizard.lblArmsAngle.text	Cam Arms Angle	
ReferenceCamCounterClockwiseAxisConfigurationWizard.lblArmsAngle.toolTipText	Angle between the two arms	
ReferenceCamCounterClockwiseAxisConfigurationWizard.lblCamRadius.text	Cam Radius	
ReferenceCamCounterClockwiseAxisConfigurationWizard.lblCamWheelGap.text	Cam Wheel Gap	
ReferenceCamCounterClockwiseAxisConfigurationWizard.lblCamWheelRadius.text	Cam Wheel Radius	
ReferenceCamCounterClockwiseAxisConfigurationWizard.lblInputAxis.text	Input Axis	
ReferenceCamCounterClockwiseAxisConfigurationWizard.panelTransformation.Border.title	Cam Counter-Clockwise Axis	
ReferenceDragFeederConfigurationWizard.btnCancelChangeAoi.text	Cancel	
ReferenceDragFeederConfigurationWizard.btnChangeAoi.text	Change	
ReferenceDragFeederConfigurationWizard.btnResetVisionOffsets.text	Reset offsets	
ReferenceDragFeederConfigurationWizard.chckbxVisionEnabled.text	Vision Enabled?	
ReferenceDragFeederConfigurationWizard.lblActuatorId.text	Actuator Name	
ReferenceDragFeederConfigurationWizard.lblBackoffDistance.text	Backoff Distance	
ReferenceDragFeederConfigurationWizard.lblFeedEndLocation.text	Feed End Location	
ReferenceDragFeederConfigurationWizard.lblFeedRate.text	Feed Speed %	
ReferenceDragFeederConfigurationWizard.lblFeedStartLocation.text	Feed Start Location	
ReferenceDragFeederConfigurationWizard.lblHeight.text	Height	
ReferenceDragFeederConfigurationWizard.lblPartPitch.text	Part Pitch	
ReferenceDragFeederConfigurationWizard.lblPeelOffActuatorId.text	Peel Off Actuator Name	
ReferenceDragFeederConfigurationWizard.lblWidth.text	Width	
ReferenceDragFeederConfigurationWizard.panelAoE.Border.title	Area of Interest	
ReferenceDragFeederConfigurationWizard.panelGeneral.Border.title	General Settings	
ReferenceDragFeederConfigurationWizard.panelLocations.Border.title	Locations	
ReferenceDragFeederConfigurationWizard.panelTemplate.Border.title	Template Image	
ReferenceDragFeederConfigurationWizard.panelVision.Border.title	Vision	
ReferenceHeapFeederConfigurationWizard.chckbxPokeForParts.text	Poke for Parts	
ReferenceHeapFeederConfigurationWizard.dropBoxPanel.Border.title	DropBox	
ReferenceHeapFeederConfigurationWizard.heapPanel.Border.title	Heap	
ReferenceHeapFeederConfigurationWizard.lblDepth.text	Depth	
ReferenceHeapFeederConfigurationWizard.lblDetectionPipeline.text	Detection Pipeline	
ReferenceHeapFeederConfigurationWizard.lblDropBox.text	DropBox	
ReferenceHeapFeederConfigurationWizard.lblDropBoxCenterBottom.text	Center Bottom	
ReferenceHeapFeederConfigurationWizard.lblDropLocation.text	Drop Location	
ReferenceHeapFeederConfigurationWizard.lblDummyPart.text	Dummy Part	
ReferenceHeapFeederConfigurationWizard.lblFeedRetryCount.text	Feed Retry Count	
ReferenceHeapFeederConfigurationWizard.lblFlipAttempts.text	Max flip attempts	
