# Fill in the third column only. Do not change the first two.
# Keep every %s / %1$s and every <br/> and \n that the English has.
# Put SKIP in the third column for anything you are unsure of; it stays English.
# key	english	translation
ReferencePushPullMotionConfigurationWizard.lblFeedMid2Location.text	Mid 2 Location	
ReferencePushPullMotionConfigurationWizard.lblFeedMid3Location.text	Mid 3 Location	
ReferencePushPullMotionConfigurationWizard.lblFeedSpeed0_1.text	Speed ↕	
ReferencePushPullMotionConfigurationWizard.lblFeedSpeed1_2.text	Speed ↕	
ReferencePushPullMotionConfigurationWizard.lblFeedSpeed2_3.text	Speed ↕	
ReferencePushPullMotionConfigurationWizard.lblFeedSpeed3_4.text	Speed ↕	
ReferencePushPullMotionConfigurationWizard.lblFeedStartLocation.text	Start Location	
ReferencePushPullMotionConfigurationWizard.lblPeelOffActuatorId.text	Auxiliary Actuator	
ReferencePushPullMotionConfigurationWizard.lblRotation.text	Rotation	
ReferencePushPullMotionConfigurationWizard.panelLocations.Border.title	Tape Settings	
ReferencePushPullMotionConfigurationWizard.panelPushPull.Border.title	Push-Pull Settings	
ReferenceSlotAutoFeederConfigurationWizard.feederPanel.Border.title	Feeder	
ReferenceSlotAutoFeederConfigurationWizard.lblActuator.text	Actuator	
ReferenceSlotAutoFeederConfigurationWizard.lblActuatorValue.text	Actuator Value	
ReferenceSlotAutoFeederConfigurationWizard.lblBank.text	Bank	
ReferenceSlotAutoFeederConfigurationWizard.lblFeed.text	Feed	
ReferenceSlotAutoFeederConfigurationWizard.lblFeeder.text	Feeder	
ReferenceSlotAutoFeederConfigurationWizard.lblForBoolean.text	For Boolean: 1 = True, 0 = False	
ReferenceSlotAutoFeederConfigurationWizard.lblForBoolean_1.text	For Boolean: 1 = True, 0 = False	
ReferenceSlotAutoFeederConfigurationWizard.lblMoveBeforeFeed.text	Move before feed	
ReferenceSlotAutoFeederConfigurationWizard.lblOffsets.text	Offsets	
ReferenceSlotAutoFeederConfigurationWizard.lblPart.text	Part	
ReferenceSlotAutoFeederConfigurationWizard.lblPickLocation.text	Location	
ReferenceSlotAutoFeederConfigurationWizard.lblPickRetryCount.text	Pick Retry Count	
ReferenceSlotAutoFeederConfigurationWizard.lblPostPick.text	Post Pick	
ReferenceSlotAutoFeederConfigurationWizard.lblRetryCount.text	Feed Retry Count	
ReferenceSlotAutoFeederConfigurationWizard.lblRotation.text	Rotation	
ReferenceSlotAutoFeederConfigurationWizard.lblRotation_1.text	Rotation	
ReferenceSlotAutoFeederConfigurationWizard.panelActuator.Border.title	Actuators	
ReferenceSlotAutoFeederConfigurationWizard.slotPanel.Border.title	Slot	
ReferenceTrayFeederConfigurationWizard.lblFeedCount.text	Feed Count	
ReferenceTrayFeederConfigurationWizard.lblFeedStartLocation.text	Offsets	
ReferenceTrayFeederConfigurationWizard.lblTrayCount.text	Tray Count	
SchultzFeederConfigurationWizard.lblActuator.text	Actuator	
SchultzFeederConfigurationWizard.lblActuatorValue.text	Feeder Number:	
SchultzFeederConfigurationWizard.lblClearCount.text	Clear Feed Count	
SchultzFeederConfigurationWizard.lblFeed.text	Pre Pick	
SchultzFeederConfigurationWizard.lblFeedCount.text	Get Feed Count	
SchultzFeederConfigurationWizard.lblGetID.text	Get ID	
SchultzFeederConfigurationWizard.lblGetPitch.text	Get Pitch	
SchultzFeederConfigurationWizard.lblGetStatus.text	Get Status	
SchultzFeederConfigurationWizard.lblPostPick.text	Post Pick	
SchultzFeederConfigurationWizard.lblTogglePitch.text	Toggle Pitch	
SchultzFeederConfigurationWizard.lblTogglePitchDesc.text	Toggle between 2 MM and 4 MM	
SchultzFeederConfigurationWizard.panelActuator.Border.title	Actuators	
ScriptActuatorConfigurationWizard.lblName.text	Name	
ScriptActuatorConfigurationWizard.lblScriptName.text	Script Name	
ScriptActuatorConfigurationWizard.panelProperties.Border.title	Properties	
SimulationModeMachineConfigurationWizard.btnResetFeeders.text	Reset Feeders	
SimulationModeMachineConfigurationWizard.btnSetMachineTable.text	Set Machine Table Z	
